name,slug,url,logo_url,countries,categories,tags,description
3sPOS,3spos,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698d4e415c82498e266dea_3sPOS.webp,United Kingdom; United Arab Emirates,POS Systems,,
Access POS,access-pos,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6565967f5e7b3f872f55e131_Access%20logo%20(1).png,United Kingdom,POS Systems,,
Adloggs,adloggs,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/68bead34929cd38472ff480c_Integration%20page%20icons%20(10).png,India,Fulfilment,,
Agilysis,agilysis,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/690aee74c811041cde5b9a5a_Untitled%20design%20(54).png,United States,POS Systems,,
All POS,all-pos,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65c1df8364de813fb952a39a_All%20POS%20logo.png,India,POS Systems,,
Amepos,amepos,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65c1df99a346f58469dd70bf_Ame%20POS%20logo.png,United Arab Emirates,POS Systems,,
App4,app4,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65c1dfa81ddd92f846e4a0d2_App%204%20logo.png,United Kingdom,Online Ordering,,
BIMPOS,bimpos,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65c1dfb7af4af49e1271442e_BimPOS%20logo.png,United Arab Emirates,POS Systems,,
BestPOS/FnB 360,bestpos-fnb-360,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697d5b6211500323148eb1_hostbooks-logo-fnb-360-65697977566d6.webp,India,POS Systems,,
Billberry,billberry,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697bccfc2f9ec21b03fea1_billberry-logo-65697983bacf8.webp,India,POS Systems,,
Bitsila,bitsila,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65c1dfcb46b73500e3027755_Bitsila%20black%20logo.png,India,Online Ordering,,
Biz1Book,biz1book,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65c1e3a46a77b0294146c201_Biz1book%20logo.png,India,POS Systems,,
Blue Lotus 360,blue-lotus-360,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698ccf2594297eaf63413b_Blue%20Lotus-logo.webp,United Kingdom,POS Systems,,
Bravery Kitchen,bravery-kitchen,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/662b3f559e1e0b3c1d71e6b4_bravery-kitchen.png,India,POS Systems,,
Bridge/Explorex,bridge-explorex,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65c1dffc3e608620c3766f5a_Exploreex%20logo.png,India,POS Systems,,
CW Suite,cw-suite,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/68b7ce76aa54a6d344217d5b_Integration%20page%20icons%20(8).png,India; United States,POS Systems,,
CaptainPad,captainpad,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697cc9a8d446f6b8b73770_captainpad-logo-65697984617d9.webp,India,POS Systems,,
Careem,careem,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/66bb0e71cc0b0f0c1a635bcc_Careem_Wordmark_Careem_Green_CMYK.jpg,Saudi Arabia; United Arab Emirates,Delivery platforms,,
Careem Box,careem-box,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65c1dfdf67437017e941e233_careembox%20logo.png,United Arab Emirates,Fulfilment,,
Cari,cari,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/663474a0ea5c77f33c6f56c5_Get%20cari%20logo.webp,United Arab Emirates; Saudi Arabia; Kuwait,Delivery platforms,,
ChatFood,chatfood,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656589cdcb806bac27083dd7_Chatfood-logo%20(1).webp,United Arab Emirates; United Kingdom,Online Ordering,,
Chownow,chownow,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65658b8502c9a3052f038eb6_Chownow-logo.svg%20(1).webp,United States,Delivery platforms,,
Cibo,cibo,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656985a979ab2f7b6485c8ba_CIBO-logo.webp,United Arab Emirates,POS Systems,,
Ciferon,ciferon,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656979e1aaa385bd5aeffd54_ciferon-logo-6569798504295.webp,India,POS Systems,,
Cowrks,cowrks,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6664378429685d0e7e463666_COWRKS.webp,India,Delivery platforms,,
Cyntra AI,cyntra-ai,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/679c85cb164f379f7f197eb7_cyntra-logo.png,United States,POS Systems,,
Cypheron POS,cypheron-pos,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697c65c092bd33d25e9641_cypheron-logo-656979859a463.webp,India,POS Systems,,
DCA,dca,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65658ab15b55bff7eb0ff120_DCA-logo%20(1).webp,India; United Arab Emirates,Online Ordering,,
Datamate/Hotsoft Purple Key,datamate-hotsoft-purple-key,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656981d2865499ea121d22e3_Datamate%20Logo.webp,United Arab Emirates,POS Systems,,
Deliveroo,deliveroo,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656588fb2e3a65322e454885_Deliveroo-Logo-_1_.webp,United Kingdom; United Arab Emirates; Kuwait; Qatar,Delivery platforms,,
Devourin,devourin,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697ae149c26cdb951d432d_devourin-logo-6569798634618.webp,India,POS Systems,,
Dgtera,dgtera,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/690ae25614fb83099a293e9f_Untitled%20design%20(49).png,Bahrain; Egypt; Jordan; Kuwait; Oman; Qatar; Saudi Arabia; United Arab Emirates,POS Systems,,
Dididood,dididood,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65a76a14a4689e5ab61b2cae_didi%20food-logo%20(1).webp,,Delivery platforms,,
Digipos/Digitory,digipos-digitory,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697ab4f24ca81fd0bc0553_digipos-logo-65697986c45a8.webp,India,POS Systems,,
Digirestro/Concourse,digirestro-concourse,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697abd14a6537423c43531_digirestro-logo-65697986cecdf.webp,India,POS Systems,,
Dineorder,dineorder,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656987fff24ca81fd0c4d37a_Dineorder%20logo.webp,United Kingdom,POS Systems,,
Dineplan,dineplan,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/66338a6c8ef807882d428a93_Screenshot%202024-05-02%20at%206.10.26%E2%80%AFPM.webp,United Arab Emirates,POS Systems,,
Dinner Daddy,dinner-daddy,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/690ae0cf41cee13fc55fca97_Untitled%20design%20(45).png,United States,POS Systems,,
Dino POS,dino-pos,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697ddcf13ef96def0e5534_dino-pos-logo-656979876b470.webp,India,POS Systems,,
Doordash,doordash,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65605d3223288923ebdf3f0b_Doordash%20logo%20(1).webp,United States; Canada,Delivery platforms,,
